chemist	nhà hóa học
advancement	sự tiến bộ
trek	hành trình
fare	giá vé
jewelry	trang sức
footwear	giày dép
waste disposal unit	đơn vị xử lý chất thải
out of bounds	ngoài giới hạn
air conditioning	điều hòa không khí
first aid	sơ cứu
breakage	vỡ
perishables	hàng hóa dễ hỏng
obsolete	lỗi thời
up-to-date	cập nhật
be supposed to	được cho là
in-depth	chuyên sâu
wonder	thắc mắc
backfire	phản tác dụng
descend	xuống
properly	đúng cách
memorable	đáng nhớ
advert	quảng cáo
throughout	khắp
box office	phòng vé
ceremony	lễ
choir	dàn hợp xướng
take place	diễn ra
tour operator	công ty du lịch
playwright	nhà viết kịch
accompany	đi kèm
premiere	buổi ra mắt
dignitary	nhân vật quan trọng
unfortunately	Không may
lead actor	diễn viên chính
saga	câu chuyện
fruitful	có lợi nhuận
fantasy	tưởng tượng
bullet point	gạch đầu dòng
stuck	mắc kẹt
on the basis that	trên cơ sở rằng
incompatible	không tương thích
obviously	rõ ràng
uncover	khám phá
problematic	có vấn đề
democratic	dân chủ
autocratic	chuyên chế
out of hand	vượt tầm kiểm soát
party	buổi tiệc
mouthpiece	ống ngậm
mediator	người hòa giải
look down on	coi thường
devoted	tận tâm
fiction	viễn tưởng
medical check-up	khám sức khỏe
blood sugar	đường huyết
straightaway	ngay lập tức
qualify	đủ điều kiện
steady	vững chắc
thrill	cảm giác hồi hộp
not necessarily	không nhất thiết
ordinary	bình thường
lasting	lâu dài
vegetarian	người ăn chay
emphasis	nhấn mạnh
given	được cho
tuition	học phí
consultation	tư vấn
draw up	lập kế hoạch
build up	xây dựng
interviewee	người được phỏng vấn
oversee	giám sát
ghost town	thị trấn ma
bring along	mang theo
excrete	bài tiết
poisoning	ngộ độc
contaminate	làm ô nhiễm
migratory	di cư
unborn child	đứa trẻ chưa sinh
voluntary	tự nguyện
youth	thiếu niên
fortnight	hai tuần
allergic	dị ứng
arts and crafts	nghệ thuật và thủ công
ceramics	gốm sứ
entrant	người tham gia
outfit	trang phục
footpath	đường đi bộ
winding	quanh co
break the bank	phá vỡ ngân hàng
flat rate	mức phí cố định
adaptation	sự thích nghi
faithful	trung thành
come across	gặp phải
illustrate	minh họa
incorporate	kết hợp
loose	lỏng lẻo
stylistic	phong cách
tricky	khôn lanh
fountain	đài phun nước
questionnaire	bảng câu hỏi
contradictory	mâu thuẫn
intrusive	xâm phạm
acoustics	âm học
govern	quản lý
discipline	kỷ luật
city-dweller	cư dân thành phố
differentiate	phân biệt
urgently	khẩn cấp
annoying	khó chịu
at first sight	thoạt nhìn
scenic	có cảnh đẹp thiên nhiên
exhilarating	phấn khích
presence	sự hiện diện
expenditure	chi tiêu
underlying	cơ bản
impact	sự va chạm
rugby	bóng bầu dục
blockbuster	bom tấn
interactive	tương tác
itinerary	lịch trình
package	bưu kiện
customise	tùy chỉnh
suit	bộ đồ
geographical	địa lý
nature	thiên nhiên
unlikely	không chắc chắn
long-haul	đường dài
once in a lifetime	một lần trong đời
apathy	sự thờ ơ
indifference	sự thờ ơ
agitated	kích động
restless	bồn chồn
boredom	sự nhàm chán
classification	phân loại
calibrate	hiệu chỉnh
apathetic	thờ ơ
arousal	sự kích thích
intriguingly	thú vị
explosive	chất nổ
wander	đi lang thang
undesirable	không mong muốn
adaptive	thích ứng
irritability	dễ cáu gắt
inability	không có khả năng
alleviate	giảm nhẹ
threshold	ngưỡng
stimulation	kích thích
unpleasant	khó chịu
fuzzy	mờ
laud	ca ngợi
invent	phát minh
recoil	giật lùi
speculation	suy đoán
enrapture	sự say mê
prestigious	danh giá
undermine	làm suy yếu
double standard	tiêu chuẩn kép
glitch	lỗi
eerie	rùng rợn
indistinguishable	không thể phân biệt được
pseudoscience	giả khoa học
condemn	lên án
blast	vụ nổ
impulse	xung lực
replica	bản sao
cast doubt on	gieo rắc nghi ngờ về
fragrant	thơm
condiment	gia vị
exotic	kỳ lạ
exorbitantly	quá mức
spur	thúc đẩy
ethnic	dân tộc
pliable	dễ uốn
peel	bóc
expel	trục xuất
lucrative	sinh lợi
harshly	khắc nghiệt
appetite	sự thèm ăn
biblical	kinh thánh
token	mã thông báo
mourner	người đưa tang
banquet	tiệc
at your/somebody’s disposal	thuộc quyền sử dụng của bạn/ai đó
indigestion	khó tiêu
rival	đối thủ
Mediterranean	Địa Trung Hải
sail	chèo
displace	dịch chuyển
empathetic	đồng cảm
charitable	từ thiện
constructively	mang tính xây dựng
defend	phòng vệ
goodwill	thiện chí
subtlety	sự tinh tế
propel	đẩy
endless	vô tận
hypothesis	giả thuyết
mutually exclusive	loại trừ lẫn nhau
spotlight	điểm sáng
posture	tư thế
flicker	nhấp nháy
attuned	hòa hợp
interpret	giải thích
evolutionary	tiến hóa
co-opt	hợp tác
anonymous	vô danh
sniff	hít
nasal	mũi
beforehand	trước đó
placebo	giả dược
perplexing	khó hiểu
lonesome	cô đơn
jealousy	lòng ghen tị
inhale	hít vào
sharply	đột ngột
contrasting	tương phản
disposition	thái độ
bonding	liên kết
favouritism	sự ưu ái
replacement	thay thế
boil	đun sôi
innermost	trong cùng
shell	vỏ bọc
bowl	cái bát
flesh	thịt
widely	rộng rãi
derivative	đạo hàm
dynamite	thuốc nổ
germinate	nảy mầm
literally	theo đúng nghĩa đen
glare	ánh sáng chói
diametrically	xuyên tâm
disperse	phân tán
explorer	nhà thám hiểm
cluster	cụm
maritime	hàng hải
colonizer	kẻ xâm lược
tolerate	tha thứ
indefinitely	vô thời hạn
moisture	độ ẩm
babble	tiếng lảm nhảm
vocalise	phát âm
specialized	chuyên
modify	biến đổi
infancy	thời thơ ấu
womb	tử cung
repetitious	lặp đi lặp lại
fascination	sự mê hoặc
linguist	nhà ngôn ngữ học
bilingual	song ngữ
prioritize	ưu tiên
absurd	vô lý
mimic	bắt chước
auditory	thính giác
theorize	đưa ra giả thuyết
speculate	suy đoán
exhaust	khí thải
succumb	khuất phục
invasion	xâm lược
proactive	chủ động
drainage	thoát nước
inaccuracy	sai
flawed	bị lỗi
monsoon	gió mùa
abrupt	đột ngột
indicative	chỉ báo
governmental	chính phủ
demise	sự kết thúc
provision	sự cung cấp
plain	đơn giản
distinctive	đặc biệt
commercial	thuộc về thương mại
iceberg	tảng băng trôi
turnaround	sự thay đổi
navigator	hoa tiêu
gale	gió mạnh
harbour	cảng
propulsion	lực đẩy
intact	còn nguyên vẹn
misfortune	bất hạnh
gamble	đánh bạc
pay off	trả hết
miscellaneous	linh tinh
determined	xác định
solid	chất rắn
decompose	phân hủy
ally	đồng minh
digest	tiêu
content	nội dung
enrich	làm giàu
fertilizer	phân bón
mixture	hỗn hợp
satellite	vệ tinh
indiscriminate	không phân biệt đối xử
nourish	nuôi
agitate	khuấy động
unspoilt	không hư
benchmark	tiêu chuẩn
ignorant	thiếu hiểu biết
pronouncement	tuyên bố
summarize	tóm tắt
collective	tập thể
mere	chỉ
banknote	tiền giấy
unforgettable	không thể nào quên
solitary	cô độc
confinement	giam cầm
possibility	khả năng
integral	tích phân
malady	bệnh tật
objectively	khách quan
influential	có ảnh hưởng
pedigree	phả hệ
astonishingly	đáng kinh ngạc
crude	dầu thô
reconcile	hòa giải
pursuit	theo đuổi
conviction	kết án
illiterate	mù chữ
lucid	sáng suốt
arresting	bắt giữ
cult	giáo phái
sensation	cảm giác
seasonal products	sản phẩm theo mùa
turn up	xuất hiện
specialise in	chuyên về
noticeable	đáng chú ý
the volume of traffic	lượng giao thông
dropping off	bỏ đi
traffic regulation	quy định giao thông
junction	điểm giao nhau
pedestrian crossing.	Vạch qua đường dành cho người đi bộ.
forbid	cấm
load	trọng tải
seed germination	sự nảy mầm của hạt giống
feed into	đưa vào
module	mô-đun
genetically-modified	biến đổi gen
upheaval	sự biến động
massive	to lớn
ledge	gờ
cliff	vách đá
mammal	động vật có vú
anatomy	giải phẫu học
squirrel	sóc
permanent	Vĩnh viễn
accustom	quen
adaptability	khả năng thích ứng
unload	dỡ hàng
Recreational	Giải trí
reckon	tính toán
sunrise	bình minh
set out	đặt ra
overwhelmingly	phần lớn
CVs. (Curriculum Vitae)	CV (Sơ yếu lý lịch).
fancy	si mê
keep up with	theo kịp
pair with	ghép với
old-fashioned	theo xưa
initially	ban đầu
outdated	lỗi thời
see the point of	hiểu được ý của
handy	tiện dụng
uncertainty	sự không chắc chắn
consult	tư vấn
struggling	đang gặp khó khăn
water-repellent	chống thấm nước
additive	chất phụ gia
tailor	thợ may
omit	bỏ qua
tie	cà vạt
rubbish	rác
abruptly	đột ngột
distracting	gây xao nhãng
odd.	số lẻ.
scratch	cào
familiar with	quen thuộc với
retrieval	truy xuất
impairment	suy giảm
recollection	hồi ức
suburb	vùng ngoại ô
rush hour	giờ cao điểm
appointment	cuộc hẹn
fanatic	cuồng tín
set goal	đặt mục tiêu
intention	chủ đích
manageable	có thể quản lý được
push yourself	hãy thúc đẩy bản thân
setback	trở ngại
bound	ràng buộc
carpet	thảm
dye	thuốc nhuộm
specialize in	chuyên về
teaspoon	thìa cà phê
chop up	chặt nhỏ
rinse	rửa sạch
get hold of	nắm bắt
cost a fortune	tốn rất nhiều tiền
ineffective	không hiệu quả
long lasting	lâu dài
poisonous	độc hại
recognisable	có thể nhận ra
hatch	cửa mở
self-preservation	tự bảo vệ
minimum	tối thiểu
terrified	kinh hãi
premier	thủ tướng
glide	trượt
dog-sled .	xe trượt tuyết chó kéo.
racing	đua xe
team relay	tiếp sức đồng đội
medal	huy chương
head off	rời đi
ascent	leo lên
summit	hội nghị thượng đỉnh
hut	túp lều
snowmobile	xe trượt tuyết
beacon	ngọn hải đăng
narrow	chật hẹp
first-timer	người mới
nutritional	dinh dưỡng
beyond	vượt ra
Ready meal	Bữa ăn sẵn
eye-opener.	Thật đáng suy ngẫm.
hesitate	do dự
comprehensive	toàn diện
consistency	tính nhất quán
small-scale	quy mô nhỏ
conclusive	kết luận
flag up	cờ
ruler	cái thước kẻ
skyrocket	tăng vọt
peasant	nông dân
stimulant	chất kích thích
boom	bùng nổ
attend to	chú ý đến
scent	hương thơm
trail	đường mòn
telltale	người tố giác
aggressively	một cách quyết liệt
prey	con mồi
tether	dây buộc
flare	bùng phát
density	Tỉ trọng
coincide	trùng khớp
neural	thần kinh
counterpart	đối tác
biologist	nhà sinh vật học
harsh	thô ráp
immortal	bất tử
youngster	người trẻ tuổi
sharp	sắc
feat	thành tích
reproduce	tái tạo
deteriorate	xấu đi
entomologist	nhà côn trùng học
represent	đại diện
colossal	khổng lồ
collapse	sụp đổ
captivity	sự giam cầm
specimen	mẫu vật
supplement	thực phẩm bổ sung
captive	tù nhân
life expectancy	tuổi thọ
drought	hạn hán
reservoir	hồ chứa
extinction	sự tuyệt chủng
excel	excel
outreach	tiếp cận cộng đồng
specialise	chuyên môn
contribute	đóng góp
means	có nghĩa
bullying	bắt nạt
ostracism	sự tẩy chay
irritation	kích ứng
nasty	bẩn thỉu
capture	chiếm lấy
bolster	củng cố
dose	liều lượng
anaesthetic	thuốc gây mê
handle	xử lý
habitat	môi trường sống
destruction	sự phá hủy
ongoing	đang diễn ra
numerous	nhiều
marine	hàng hải
debris	mảnh vụn
examine	nghiên cứu
remaining	còn lại
strikingly	nổi bật
preference	sự ưa thích
bothersome	phiền phức
entangle	vướng mắc
severely	nghiêm trọng
synthetic	tổng hợp
fibers	sợi
toiletries	đồ dùng vệ sinh cá nhân
erode	xói mòn
remnant	tàn tích
ecologist	nhà sinh thái học
dismal	ảm đạm
conjure up	tạo ra
strategically	một cách chiến lược
misperception	nhận thức sai lầm
interrogate	thẩm vấn
repercussion	hậu quả
tire	lốp xe
mindful	chú tâm
scarce	khan hiếm
curtail	hạn chế
diagnosis	chẩn đoán
autism	tự kỷ
witch	phù thủy
gallant	dũng cảm
enchanting	quyến rũ
pretence	sự giả vờ
underpin	nền tảng
crucial	chủ yếu
adaptable	có thể thích nghi
extol	ca ngợi
virtue	đức hạnh
predictor	yếu tố dự báo
stimulus	kích thích
instructional	hướng dẫn
controversy	tranh cãi
trivial	tầm thường
misuse	lạm dụng
prone	dễ bị
vandalism	phá hoại
turn down	từ chối
municipality	đô thị
distribute	phân phát
unanimously	nhất trí
glorious	vinh quang
financially	về mặt tài chính
activist	nhà hoạt động
consumerism	chủ nghĩa tiêu dùng
abolish	bãi bỏ
profitable	có lợi nhuận
pivotal	then chốt
arouse	khơi dậy
underground	bí mật
leaflet	tờ rơi
a great deal of	rất nhiều
publicise	công khai
get off the ground	cất cánh khỏi mặt đất
opposed	phản đối
devise	thiết kế
seize	chiếm đoạt
conspicuous	nổi bật
sturdy	chắc chắn
instantly	ngay lập tức
blow	thổi
decisive	quyết định
boast	khoe khoan
mentality	tâm lý
obligated	bắt buộc
relation	mối quan hệ
managerial	quản lý
turnover	doanh thu
recur	tái diễn
inadequate	không đủ
morale	tinh thần
unfavorable	không thuận lợi
fulfill	hoàn thành
favorable	thuận lợi
involvement	sự tham gia
align	căn chỉnh
retention	giữ lại
inherently	vốn dĩ
predisposition	khuynh hướng
dichotomy	sự phân đôi
extrinsic	ngoại sinh
delicate	thanh tú
simultaneously	đồng thời
rarely	hiếm khi
estate	tài sản
apprenticeship	học nghề
excursion	đi chơi, dã ngoại
artificial	nhân tạo
realism	chủ nghĩa hiện thực
portraiture	chân dung
specialize	chuyên môn hóa
scenery	phong cảnh
principal	hiệu trưởng
administer	quản lý
extensively	rộng rãi
cater to	phục vụ cho
inclusion	sự bao gồm
pacific	Thái Bình Dương
outskirts	vùng ngoại ô
circulation	tuần hoàn
archive	lưu trữ
ingenuity	ngây thơ
panic	hoảng loạn
clamour	kêu la
lethal	gây chết người
prosperous	thịnh vượng
steer clear of	tránh xa
popularity	sự phổ biến
prestige	uy tín
pathogen	mầm bệnh
tuberculosis	bệnh lao
entirely	toàn bộ
relentlessly	không ngừng nghỉ
inventor	nhà phát minh
architectural	kiến trúc
communal	cộng đồng
dementia	chứng mất trí nhớ
fraction	phân số
cholera	bệnh tả
agent	đại lý
outbreak	sự bùng phát
gadget	thiết bị
squander	lãng phí
mechanically	cơ học
sweeping	quét
reliance	sự phụ thuộc
via	thông qua
habitable	có thể ở được
substantial	đáng kể
contend	tranh luận
lament	than thở
expertly	một cách chuyên nghiệp
foul	hôi
disprove	bác bỏ
advocate	người ủng hộ
comparable	tương đương
liability	trách nhiệm pháp lý
hybrid	lai
compelling	thuyết phục
outlook	triển vọng
rhetoric	hùng biện
delight	niềm vui
massively	rất nhiều
complaint	lời phàn nàn
ironically	trớ trêu thay
steadily	đều đặn
proportion	tỷ lệ
dissatisfied	không hài lòng
disorder	rối loạn
detrimental	có hại
outweigh	vượt trội
devoid	trống rỗng
hierarchy	hệ thống phân cấp
bottleneck	nút thắt cổ chai
as opposed to	trái ngược với
facet	khía cạnh
former	trước
put forward	đưa ra
jump on the bandwagon	hùa theo đám đông
utility	tính thiết thực
venerate	tôn kính
distinct	riêng biệt
implicit	ngầm định
clarity	sự rõ ràng
explicit	rõ ràng
disappointing	thất vọng
desirable	mong muốn
preferential	ưu tiên
at the expense of	với chi phí của
democracy	nền dân chủ
supplementation	bổ sung
loosely	một cách lỏng lẻo
avail	có sẵn
elite	ưu tú
competency	năng lực
presupposition	giả định
medicinal	thuốc
compound	hợp chất
prompt	lời nhắc
substance	chất
noxious	độc hại
rid of	loại bỏ
parasite	ký sinh trùng
subsequent	tiếp theo
infrequently	không thường xuyên
rear	ở phía sau
recess	giờ nghỉ
pharmaceutical	dược phẩm
from scratch	từ đầu
derive	suy ra
ecology	sinh thái học
fellow	đồng nghiệp
zoologist	nhà động vật học
subdue	khuất phục
bacterium	vi khuẩn
pathogenic	gây bệnh
filthy	bẩn thỉu
soothe	làm dịu
ailment	bệnh tật
hurdle	rào cản
barely	hầu như không
loom	khung dệt
resistance	sức chống cự
firmly	chắc chắn
undisputed	không thể tranh cãi
terrestrial	trên cạn
domain	lãnh địa
consequently	do đó
bewildering	gây hoang mang
array	mảng
defensive	phòng thủ
offensive	tấn công
therapeutic	điều trị
venom	nọc độc
ubiquity	sự phổ biến
pitfall	cạm bẫy
groundbreaking	đột phá
sincerely	trân trọng
discrete	rời rạc
optimal	tối ưu
robust	mạnh mẽ
classify	phân loại
continuum	sự liên tục
drive	lái xe
elude	né tránh
theorist	nhà lý thuyết
typically	tiêu biểu
stem from	bắt nguồn từ
autonomy	quyền tự chủ
intrinsically	về bản chất
avenue	đại lộ
preschooler	trẻ mẫu giáo
repertoire	tiết mục
essence	nước hoa
spontaneously	tự phát
mastery	sự thành thạo
dimension	kích thước
critically	một cách nghiêm túc
thoughtful	chu đáo
predominantly	chủ yếu
antique	đồ cổ
riverside	ven sông
compartment	ngăn
suspect	nghi ngờ
blond	tóc vàng
run off	bỏ chạy
digit	chữ số
approachable	dễ gần
make an effort	nỗ lực
probationary	thử việc
take something up	lấy thứ gì đó lên
high heels	giày cao gót
preferable	ưa thích hơn
subsidise	trợ cấp
unhygienic	không hợp vệ sinh
pollutant	chất gây ô nhiễm
discharge	phóng điện
downstream	hạ lưu
drainage channel	kênh thoát nước
drain away the water	xả hết nước
sensible	hợp lý
disposing	xử lý
environmentalist	nhà bảo vệ môi trường
abide by	tuân thủ
harness	dây đai an toàn
standstill	đứng yên
onshore	trên đất liền
offshore	ngoài khơi
erratic	thất thường
drawback	nhược điểm
sediment	trầm tích
tidal	thủy triều
lagoon	đầm phá
shelter	nơi trú ẩn
rush	cây bấc
breakwater	đê chắn sóng
chain	xích
start off	bắt đầu
knee	đầu gối
come on	Thôi nào
pounding	đập mạnh
slip	trượt
fort	pháo đài
invader	kẻ xâm lược
nobleman	quý tộc
run down	xuống cấp
hall	sảnh
enlarge	phóng to
carry on	tiếp tục
sculpture	điêu khắc
date back	ngày tháng trở lại
redesign	thiết kế lại
archer	cung thủ
hunting bird	chim săn mồi
wooly mammoth	voi ma mút lông xù
jawbone	xương hàm
animated	hoạt hình
roam	đi lang thang
cut off	cắt đứt
volcanic ash	tro núi lửa
get in touch	liên hệ
muddled	lộn xộn
chronological	theo trình tự thời gian
overrun	tràn ngập
relevance	sự liên quan
catastrophe	thảm họa
thunder	sấm sét
civilisation	nền văn minh
rite	nghi lễ
astronomer	nhà thiên văn học
celestial	thiên thể
comet	sao chổi
proverb	tục ngữ
pass on	truyền đạt
vane	cánh quạt
hygrometer	máy đo độ ẩm
trade wind	gió mậu dịch
telegraph	điện báo
projector	máy chiếu
exhibition	triển lãm
presume	giả định
attendee	người tham dự
facial	khuôn mặt
rooftop	sân thượng
complimentary	miễn phí
devote to	cống hiến cho
behavioural	hành vi
sensibly	một cách hợp lý
mental	tâm thần
significantly	đáng kể
favourably	thuận lợi
couple	cặp đôi
hardly	khắc nghiệt
elderly	người già
dressmaker	thợ may
calmly	bình tĩnh
take over	tiếp quản
patiently	kiên nhẫn
marching band	ban nhạc diễu hành
be in charge of	chịu trách nhiệm về
incentive	khích lệ
carnival	lễ hội
recording	ghi âm
drummer	tay trống
inspiring	truyền cảm hứng
parade	cuộc diễu hành
flautist	nghệ sĩ thổi sáo
rehearse	diễn tập
plausible	có thể xảy ra
trumpeter	người thổi kèn
trombonist	người chơi kèn trombone
sense of rhythm	cảm giác nhịp điệu
percussion	bộ gõ
interact	tương tác
composition	bố cục
orchestra	dàn nhạc
vibrant	rực rỡ
expressive	biểu cảm
trilogy	bộ ba
tragedy	bi kịch
disturbing	đáng lo ngại
sob	nức nở
clarinet	kèn clarinet
overshadow	che khuất
cornet	kèn cornet
prominent	nổi bật
flag hand-over ceremony	lễ bàn giao cờ
pot	chậu
terrace	sân thượng
Master of Ceremonies (MC)	Người dẫn chương trình (MC)
speech	lời nói
chatter	trò chuyện
cabin	cabin
self-contained	tự cung tự cấp
court	tòa án
all-inclusive	bao gồm tất cả
afterwards	sau đó
dip	nhúng
canter	phi nước kiệu
gown	váy
medieval	thời trung cổ
cutlery	dao kéo
ballroom	phòng khiêu vũ
children's literature	văn học thiếu nhi
vividly	sống động
adventurous	phiêu lưu
witty	dí dỏm
moving	di chuyển
sunken	chìm
shipwreck	vụ đắm tàu
semicircle	hình bán nguyệt
grain	ngũ cốc
well	Tốt
ceremonial	nghi lễ
treasure trove	kho báu
bustling	nhộn nhịp
diver	thợ lặn
rig	giàn khoan
pipeline	đường ống
sonar	sonar
winch	tay quây
manoeuvre	thao tác
ferry	phà
prefabricated	lắp ghép sẵn
marble	đá cẩm thạch
electromagnetic wave	sóng điện từ
seabed	đáy biển
inspection	điều tra
deploy	triển khai
dissolve	hòa tan
terracotta	đất nung
withstand	chịu đựng
erosion	xói mòn
woodland	rừng cây
charcoal	than
herbal	thảo dược
remedy	phương thuốc
bark	vỏ cây
resuscitation	hồi sức
certify	chứng nhận
wildlife	động vật hoang dã
counteract	chống lại
expanse	sự rộng lớn
arid	khô cằn
pioneering	tiên phong
prejudice	định kiến
aspirational	khát vọng
refuge	nơi trú ẩn
volcanic	núi lửa
whistle	còi
command	yêu cầu
obscure	không rõ ràng
indigenous	người bản địa
substitute	thay thế
pitch	sân bóng đá
cup	tách
relay	rơle
ambiguity	sự mơ hồ
hemisphere	bán cầu
modality	phương thức
quota	hạn ngạch
logging	ghi nhật ký
lease	cho thuê
corrupt	tham nhũng
unsophisticated	không tinh tế
ignorance	sự thiếu hiểu biết
ashamed	xấu hổ
press	nhấn
exert	nỗ lực
legislation	luật pháp
plummet	rơi xuống
comply	tuân theo
necessity	sự cần thiết
distinction	sự phân biệt
moralistic	đạo đức
admirable	đáng ngưỡng mộ
greed	tham lam
breach	sự vi phạm
fiduciary	người được ủy thác
sue	kiện tụng
outrage	sự phẫn nộ
empower	trao quyền
vacancy	vị trí còn trống
clerical	nhân viên văn phòng
pick up	nhặt lên
match	cuộc thi đấu
rail	đường ray
Incidentally	Nhân tiện
isle	hòn đảo
parliament	quốc hội
promenade	đi chơi
heritage site	di tích lịch sử
steam	hơi nước
medieval castle	lâu đài thời trung cổ
run through	chạy qua
look after	chăm sóc
envious	ghen tị
recognise	nhận ra
only child	con một
marginally	một chút
intellectually	về mặt trí tuệ
verbalise	diễn đạt bằng lời
nectar	mật hoa
disinfectant	chất khử trùng
prematurely	sớm
die off	chết đi
lime	chanh xanh
wash away	rửa trôi
flourish	phát triển mạnh
bushfire	cháy rừng
eucalyptus	cây bạch đàn
proliferate	nảy nở
continent	lục địa
odd	số lẻ
amateur	nghiệp dư
cookery	nấu ăn
carpentry	nghề mộc
chisel	đục
supervise	giám sát
lifeguard	nhân viên cứu hộ
possession	chiếm hữu
amenity	tiện nghi
densely	dày đặc
petition	đơn kiến ​​nghị
demonstration	cuộc biểu tình
dig up	đào lên
troop	quân đội
pond	ao
wooden	gỗ
bend	uốn cong
circular	hình tròn
tennis court	sân tennis
right angle	góc vuông
reform	cải cách
name after	đặt tên theo
amusement	giải trí
draw on	vẽ lên
selfishness	ích kỷ
heroine	nữ anh hùng
fortune	vận may
irrigation	tưới tiêu
dependable	đáng tin cậy
implement	thực hiện
livestock	gia súc
breeding	chăn nuôi
notable	đáng chú ý
fence	hàng rào
wire	dây điện
fence off	rào chắn
pump	bơm
spoil	chiều hư
tank	xe tăng
colony of bees	đàn ong
teleconferencing	hội nghị truyền hình
commute	đi làm
stock	Cổ phần
literate	biết chữ
stove	cái lò
scheme	cơ chế
warden	cai ngục
block off	chặn lại
motorist	người lái xe
suburban	ngoại ô
give sth a go	thử xem sao
minority	thiểu số
get to know	làm quen
front page	trang nhất
editor	biên tập viên
headline	tiêu đề
version	phiên bản
editorial	bài xã luận
cleanliness	sự sạch sẽ
laundry	giặt ủi
wash off	rửa sạch
mud	bùn
rinse (off)	rửa sạch
cylinder	xi lanh
ash	tro
anoint	xức dầu
tint	màu sắc
unsanitary	không hợp vệ sinh
craft	thủ công
reinforce	củng cố
platform	nền tảng
hand out	trao
arrangement	sắp xếp
assortment	sự đa dạng
towards	đối với
lead off	dẫn đầu
wild flower	hoa dại
let off steam	xả hơi
irrespective	bất kể
disastrous	thảm họa
shady	râm
insulate	cách nhiệt
pit	hố
dump	bãi rác
appliance	thiết bị
do sb a favour	giúp đỡ ai đó
have a go at something	Hãy thử làm điều gì đó
Industrial Revolution	Cách mạng công nghiệp
era	kỷ nguyên
watermill	cối xay nước
windmill	cối xay gió
lace	ren
scale	tỉ lệ
knowledgeable	có kiến ​​thức
flock	đàn
plate glass	kính tấm
explosion	vụ nổ
branch	chi nhánh
foliage	tán lá
husk	vỏ
surround	bao quanh
encase	bao bọc
split	tách ra
latter	sau
exclusive	loại trừ
importer	nhà nhập khẩu
commodity	hàng hóa
fleet	đội tàu
monopoly	độc quyền
plague	bệnh dịch hạch
contagious	dễ lây lan
cultivate	canh tác
fertile	màu mỡ
secretly	bí mật
smuggle	buôn lậu
plantation	đồn điền
tsunami	sóng thần
eruption	sự phun trào
evergreen	cây thường xanh
costly	đắt đỏ
flavouring	hương vị
preservative	chất bảo quản
dominance	sự thống trị
subcontract	hợp đồng phụ
swiftly	nhanh chóng
insist	khăng khăng
securely	an toàn
domination	sự thống trị
intent	ý định
transplant	cấy ghép
collision	va chạm
contributory	đóng góp
primary	sơ đẳng
incidence	tỷ lệ mắc bệnh
productive	hiệu quả
mobility	khả năng di chuyển
ownership	quyền sở hữu
annual	hàng năm
intensively	một cách chuyên sâu
viable	khả thi
institute	viện
drop	làm rơi
disabled	tàn tật
pace	nhịp độ
transition	chuyển đổi
conventional	thông thường
compensate	đền bù
redundant	dư thừa
infrastructure	cơ sở hạ tầng
infinite	vô hạn
regulatory	quy định
enforcement	thực thi
societal	xã hội
implementation	triển khai
flexibility	tính linh hoạt
unoccupied	không có người ở
potentially	có thể
concrete	bê tông
refer to	đề cập đến
intrinsic	nội tại
element	yếu tố
quest	nhiệm vụ
peculiar	riêng
merely	chỉ
inclined	nghiêng
enquiring	hỏi
instinct	bản năng
uncultivated	chưa được canh tác
scarcely	hầu như không
slightly	nhẹ nhàng
endeavour	nỗ lực
pioneer	người tiên phong
cutting-edge	tiên tiến
cast light on	chiếu sáng
interpretation	diễn giải
stunt	diễn viên đóng thế
laboriously	một cách vất vả
so-called	cái gọi là
regardless	bất kể
expedition	cuộc thám hiểm
bias	thiên vị
voyage	chuyến đi
graze	chăn thả
disregard	bỏ qua
convey	truyền đạt
grunt	tiếng càu nhàu
undoubtedly	chắc chắn
nomadic	du mục
delve into	đi sâu vào
confine	giới hạn
outset	ngay từ đầu
declare	tuyên bố
improvise	ứng biến
intimate	thân mật
material	vật liệu
conceive	thụ thai
choreography	biên đạo múa
unforeseen	không lường trước được
arise	phát sinh
reverse	đảo ngược
counter-intuitive	phản trực giác
prioritise	ưu tiên
quantitative	định lượng
radical	cực đoan
damaging	gây hại
technique	kỹ thuật
simplify	đơn giản hóa
prevalent	phổ biến
predictable	có thể dự đoán được
aesthetic	thẩm mỹ
simulate	mô phỏng
expertise	chuyên môn
emerge	xuất hiện
extinct	tuyệt chủng
mass	khối
geneticist	nhà di truyền học
ambitious	tham vọng
premise	tiền đề
fertilise	phân bón
embryo	phôi thai
disturbance	sự xáo trộn
wreck	vụ tai nạn
stagnant	trì trệ
regenerate	tái tạo
revival	sự hồi sinh
endangered	bị đe dọa
differ	khác nhau
emission	khí thải
mitigate	giảm thiểu
debilitating	làm suy nhược
syndrome	hội chứng
notorious	nổi tiếng
resident	người dân
subject to	tùy thuộc vào
thrive	phát triển mạnh
spectacle	cảnh tượng
carnivore	động vật ăn thịt
identical	giống hệt nhau
insertion	chèn
moral	có đạo đức
hazard	nguy hiểm
emphasize	nhấn mạnh
universality	tính phổ quát
setting	cài đặt
spectrum	quang phổ
anthropologist	nhà nhân chủng học
tribe	bộ lạc
dweller	cư dân
remarkably	đáng chú ý
consistent	nhất quán
compose	sáng tác
tease	trêu chọc
mildly	nhẹ nhàng
insulting	xúc phạm
